candidate_method,reference_method,k,strategy,metric,difference_definition,n_paired_patients,mean_paired_difference,bootstrap_95_lower,bootstrap_95_upper,bootstrap_unit
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,5,random,area_curve_relative_rmse,candidate_minus_reference,98,0.03520118983064565,0.014027656670881112,0.057029569316166005,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,5,random,hidden_brier,candidate_minus_reference,98,0.000693039233055045,-0.00025302440978168024,0.0015746328901328466,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,5,uniform,mean_hidden_dice,candidate_minus_reference,98,-0.0038100032692061784,-0.010821700617783547,0.0035553412303965504,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,5,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,0.4577167906941019,0.05261797884027395,0.8740792792378084,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,5,uniform,area_curve_relative_rmse,candidate_minus_reference,98,0.03506583471094265,0.010813034479860607,0.059923509018195924,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,5,uniform,hidden_brier,candidate_minus_reference,98,0.0005142607688143599,-0.0006864387354319297,0.0016590182880909128,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,clustered,mean_hidden_dice,candidate_minus_reference,98,-0.007510386268930883,-0.012896965792643338,-0.0020752826037907387,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,0.6016954597451235,0.30229622489934393,0.9246558736083398,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,clustered,area_curve_relative_rmse,candidate_minus_reference,98,0.05027076878171958,0.027978012597420703,0.07121578146099583,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,clustered,hidden_brier,candidate_minus_reference,98,0.0012555682309428066,0.0003027288368618017,0.002180880648036471,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,random,mean_hidden_dice,candidate_minus_reference,98,-0.0076633855395365925,-0.014687409396582118,-0.00033132727550990766,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,random,mean_hidden_hd95_px,candidate_minus_reference,98,0.7093589763590517,0.2839280382116249,1.140596384091833,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,random,area_curve_relative_rmse,candidate_minus_reference,98,0.057575758482878145,0.0319122081594383,0.08415636315785727,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,random,hidden_brier,candidate_minus_reference,98,0.0013966200246038505,0.00010536474517870463,0.0026452870852294963,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,uniform,mean_hidden_dice,candidate_minus_reference,98,-0.0067894030124762954,-0.014879357332570661,0.0017067855616869302,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,0.6927582237619413,0.20815880625730612,1.2003401070765258,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,uniform,area_curve_relative_rmse,candidate_minus_reference,98,0.06088238603370168,0.03178835364921634,0.08837609241577245,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,7,uniform,hidden_brier,candidate_minus_reference,98,0.0012660106568008077,-0.0002102260145225685,0.0026618326042436653,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,clustered,mean_hidden_dice,candidate_minus_reference,98,-0.006615214994358521,-0.0107272096205654,-0.0024238052522836642,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,0.506806255903742,0.2792120690911284,0.7515591466524172,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,clustered,area_curve_relative_rmse,candidate_minus_reference,98,0.04456226033408525,0.024462570908212373,0.06472319271505012,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,clustered,hidden_brier,candidate_minus_reference,98,0.0010920082618083302,0.00028541585544542925,0.0018923683261156718,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,random,mean_hidden_dice,candidate_minus_reference,98,-0.008368954663078665,-0.015097415322087889,-0.00131208329956023,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,random,mean_hidden_hd95_px,candidate_minus_reference,98,0.6695102694444219,0.263857359422369,1.077927115966866,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,random,area_curve_relative_rmse,candidate_minus_reference,98,0.057530161213893594,0.031775172643716314,0.08306247557140368,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,random,hidden_brier,candidate_minus_reference,98,0.0015682765852888022,0.00037498075648077783,0.0027530016050179833,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,uniform,mean_hidden_dice,candidate_minus_reference,98,-0.00793541613570761,-0.015037515088054705,-0.00026674637856809446,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,0.6565057925498904,0.23346262269912452,1.1069050847583155,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,uniform,area_curve_relative_rmse,candidate_minus_reference,98,0.05887010486995416,0.031495242394905164,0.08618693643820619,patient
oa_hb_tpm_isotropic_prior,hb_tpm_latent_mse,10,uniform,hidden_brier,candidate_minus_reference,98,0.0014807889903230345,0.00011272203671384752,0.0027922378667649263,patient
oa_hb_tpm_map,hb_tpm_latent_mse,2,clustered,mean_hidden_dice,candidate_minus_reference,98,-0.0028965899633792485,-0.007360002167244337,0.0018200972635515772,patient
oa_hb_tpm_map,hb_tpm_latent_mse,2,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,0.18370702602604702,-0.05596318971201113,0.4376202915149866,patient
oa_hb_tpm_map,hb_tpm_latent_mse,2,clustered,area_curve_relative_rmse,candidate_minus_reference,98,0.008434081255721291,-0.009417699488862548,0.02526943409715911,patient
oa_hb_tpm_map,hb_tpm_latent_mse,2,clustered,hidden_brier,candidate_minus_reference,98,9.116479100621811e-05,-0.0008042405409339245,0.0009289839636648545,patient
