method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,mean_hidden_area_95_coverage,trust_gate_rejection_rate,mean_runtime_s
source_mean,3,clustered,20,100,0.7687151068408106,9.104972715376348,0.35339037319840183,0.030125985872000455,,0.78,0.033611467201262714
source_mean,3,random,20,100,0.7669942564675203,9.124329755465657,0.35339035349167847,0.030130700040608645,,0.52,0.033598930235020814
source_mean,3,uniform,20,20,0.7669833616505659,9.082462619246463,0.35338967488523787,0.02985936156474054,,0.1,0.03396090709138662
