method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,mean_hidden_area_95_coverage,trust_gate_rejection_rate,mean_runtime_s
oa_hb_tpm_no_phase_alignment,2,clustered,19,95,0.7531333086716936,9.591869929150498,0.9594216421460487,0.03628618030955917,0.09617224880382776,1.0,0.03798741165450529
oa_hb_tpm_no_phase_alignment,2,random,19,95,0.752319343474509,9.599290296896635,0.9584904054939225,0.03630653333507086,0.10047846889952153,0.9368421052631579,0.03799306660106307
oa_hb_tpm_no_phase_alignment,2,uniform,19,19,0.7503122190661571,9.635184666977418,0.9532451490638785,0.036249162531212756,0.09330143540669857,0.0,0.04200985412554521
