method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,mean_hidden_area_95_coverage,trust_gate_rejection_rate,mean_runtime_s
target_only,10,clustered,19,95,0.7281702650445356,11.711010533498575,1.0466875496244652,0.04994697106119834,0.004511278195488721,0.0,0.028619503945504363
target_only,10,random,19,95,0.7237542120073058,11.39881971299081,1.048505426764675,0.04933152038015817,0.006015037593984962,0.021052631578947368,0.02861716770567
target_only,10,uniform,19,19,0.723482579184925,11.407008609919366,1.0485041226919989,0.04935825194575285,0.007518796992481203,0.10526315789473684,0.030424210978181737
