record_id,method_id,seed,n_photons,success,failure_reason,runtime_s,truth_d_start_um2_s,truth_d_end_um2_s,estimate_d_start_um2_s,estimate_d_end_um2_s,log_endpoint_squared_error,curve_relative_rmse,endpoint_coverage,prior_used,simulation_truth_used_by_estimator
target_000,target_only_event_qmle,746972847,536,True,,0.2713298100279644,42.0540433401536,126.23706022170639,30.77914601480508,180.63007964936523,0.11289459391315636,0.20655036286663211,1.0,False,False
target_000,oa_hb_tpm_map,746972847,536,True,,0.20559651602525264,42.0540433401536,126.23706022170639,48.68420151848354,107.04769795710787,0.024310210011349885,0.08991790556144065,1.0,True,False
target_001,target_only_event_qmle,201108452,477,True,,0.22835273202508688,78.08057071391843,188.41403941382404,121.15193378253791,37.596052215386116,1.3953515431410608,0.5097412048226078,0.5,False,False
target_001,oa_hb_tpm_map,201108452,477,True,,0.2081269039772451,78.08057071391843,188.41403941382404,75.9598366024963,70.85164393330517,0.47867365937176964,0.4097118657414904,0.5,True,False
target_002,target_only_event_qmle,306353293,465,False,d_search_boundary,0.20358211093116552,49.573087764345985,89.50079922941761,10.000000000000002,83.29903337469656,1.2839595672020288,0.5625458507701344,0.5,False,False
target_002,oa_hb_tpm_map,306353293,465,True,,0.20527948904782534,49.573087764345985,89.50079922941761,23.320916413481854,73.36678531692644,0.3040874732243665,0.38444568391164774,0.5,True,False
target_003,target_only_event_qmle,1135358713,413,True,,0.18800817895680666,47.81471428657921,72.79063166033899,34.49372758363995,109.79299593009968,0.1377837807600855,0.2370366128775635,1.0,False,False
target_003,oa_hb_tpm_map,1135358713,413,True,,0.16934271506033838,47.81471428657921,72.79063166033899,47.82979733335769,90.05309114997239,0.02264455259405844,0.1335760228899542,1.0,True,False
target_004,target_only_event_qmle,1810383730,545,True,,0.25373573403339833,50.26422668857344,146.60841879758846,23.964003939684886,135.25768090546202,0.2775952850179303,0.3492149872002196,1.0,False,False
target_004,oa_hb_tpm_map,1810383730,545,True,,0.23077798692975193,50.26422668857344,146.60841879758846,41.453488639671214,90.09658941748218,0.13709828528715245,0.291923508516307,1.0,True,False
target_005,target_only_event_qmle,800074889,599,True,,0.27086596901062876,30.207538962855782,47.620569643109945,41.7207842741564,16.959428422017883,0.5851018363463341,0.3808800704306663,0.5,False,False
target_005,oa_hb_tpm_map,800074889,599,True,,0.2235449489671737,30.207538962855782,47.620569643109945,38.15387445390259,43.34854837400103,0.031686690218376244,0.12807144301142628,1.0,True,False
target_006,target_only_event_qmle,434632259,437,True,,0.21343348396476358,42.97187045988111,106.27447395731814,89.22608236134835,112.36551456873777,0.2684614242695354,0.589179004473502,1.0,False,False
target_006,oa_hb_tpm_map,434632259,437,True,,0.19536642904859036,42.97187045988111,106.27447395731814,76.48939234231513,99.43552565343478,0.1684496046708878,0.3970411673447627,0.5,True,False
target_007,target_only_event_qmle,1257882643,476,True,,0.30783626704942435,35.43047431595711,67.38213137340814,89.1967004024594,66.83720761388278,0.42624832125523915,0.7752370482077914,0.5,False,False
target_007,oa_hb_tpm_map,1257882643,476,True,,0.22924160491675138,35.43047431595711,67.38213137340814,71.70032673338837,83.1442673676384,0.2705496882618514,0.6388692009116697,0.5,True,False
target_008,target_only_event_qmle,2142561698,474,True,,0.2693594819866121,44.003926847275146,74.93849309227791,30.487215566038522,44.477460182001494,0.20341171082715406,0.3592556977471096,1.0,False,False
target_008,oa_hb_tpm_map,2142561698,474,True,,0.18773252004757524,44.003926847275146,74.93849309227791,39.547449266519116,65.9579765713701,0.01384798021835671,0.11071971151835928,1.0,True,False
target_009,target_only_event_qmle,219472577,478,True,,0.26979453198146075,50.80440524665493,96.28202546512729,20.193686136282395,78.16053704572013,0.4473470698339262,0.43643138603101106,1.0,False,False
target_009,oa_hb_tpm_map,219472577,478,True,,0.1871774479513988,50.80440524665493,96.28202546512729,52.97907507162828,76.16084542228981,0.028358077339969968,0.11499466653292076,1.0,True,False
target_010,target_only_event_qmle,1327325578,517,True,,0.22071424091700464,47.013353354396784,104.58639866571427,52.00245847299848,67.7809138479761,0.0991483993383817,0.19508049610757539,1.0,False,False
target_010,oa_hb_tpm_map,1327325578,517,True,,0.19982818700373173,47.013353354396784,104.58639866571427,54.62619887279067,77.63719077294105,0.055654439727623906,0.13708502312096382,1.0,True,False
target_011,target_only_event_qmle,538075384,502,True,,0.21687684708740562,42.19631299093301,103.98900253448429,25.513400543261696,59.139193809625624,0.28583815695560166,0.41364284361678283,1.0,False,False
target_011,oa_hb_tpm_map,538075384,502,True,,0.19507777807302773,42.19631299093301,103.98900253448429,45.72133343369828,67.50645851840711,0.09655733078234255,0.19728950736619685,1.0,True,False
target_012,target_only_event_qmle,299790217,451,True,,0.24200094502884895,40.16062387488256,86.4982995505401,65.11406365361731,90.67945896217468,0.11788120367116675,0.35533754085424196,1.0,False,False
target_012,oa_hb_tpm_map,299790217,451,True,,0.1608184219803661,40.16062387488256,86.4982995505401,64.49118405543453,89.2951142078061,0.11267446667068642,0.34129794104849615,1.0,True,False
target_013,target_only_event_qmle,181699541,506,True,,0.21755554305855185,46.26360721424873,90.9308688542273,29.15828811376116,48.462661762988056,0.3045578192430028,0.42068720724893044,1.0,False,False
