method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,mean_hidden_area_95_coverage,trust_gate_rejection_rate,mean_runtime_s
oa_hb_tpm_isotropic_prior,5,clustered,20,100,0.7440656510658595,9.895201626288491,0.3565366405222407,0.03869396710768342,0.6378947368421053,1.0,0.03423426595283672
oa_hb_tpm_isotropic_prior,5,random,20,100,0.7425832769386025,9.885017453969859,0.35655471421764173,0.038635125737637284,0.6763157894736842,0.56,0.034240672180894764
oa_hb_tpm_isotropic_prior,5,uniform,20,20,0.7422229838617955,9.869628539411107,0.35426347516964235,0.03839620747603476,0.7315789473684211,0.05,0.03581018055556342
