epoch=000 train_loss=1.49225 validation_dice=0.64679 best=0.64679
epoch=001 train_loss=1.33747 validation_dice=0.72538 best=0.72538
epoch=002 train_loss=1.14002 validation_dice=0.73761 best=0.73761
epoch=003 train_loss=0.91775 validation_dice=0.73811 best=0.73811
epoch=004 train_loss=0.71233 validation_dice=0.74329 best=0.74329
epoch=005 train_loss=0.55282 validation_dice=0.75378 best=0.75378
epoch=006 train_loss=0.45069 validation_dice=0.75262 best=0.75378
epoch=007 train_loss=0.37370 validation_dice=0.75432 best=0.75432
epoch=008 train_loss=0.33165 validation_dice=0.75144 best=0.75432
epoch=009 train_loss=0.30169 validation_dice=0.75953 best=0.75953
epoch=010 train_loss=0.27977 validation_dice=0.75570 best=0.75953
epoch=011 train_loss=0.25986 validation_dice=0.76065 best=0.76065
epoch=012 train_loss=0.23869 validation_dice=0.76072 best=0.76072
epoch=013 train_loss=0.22509 validation_dice=0.75543 best=0.76072
epoch=014 train_loss=0.19684 validation_dice=0.75842 best=0.76072
epoch=015 train_loss=0.17915 validation_dice=0.75945 best=0.76072
epoch=016 train_loss=0.15979 validation_dice=0.76203 best=0.76203
epoch=017 train_loss=0.13964 validation_dice=0.75787 best=0.76203
epoch=018 train_loss=0.11835 validation_dice=0.76159 best=0.76203
epoch=019 train_loss=0.10232 validation_dice=0.76210 best=0.76210
epoch=020 train_loss=0.09233 validation_dice=0.76087 best=0.76210
epoch=021 train_loss=0.08274 validation_dice=0.76220 best=0.76220
epoch=022 train_loss=0.08235 validation_dice=0.76321 best=0.76321
epoch=023 train_loss=0.08070 validation_dice=0.76149 best=0.76321
epoch=024 train_loss=0.08236 validation_dice=0.76267 best=0.76321
epoch=025 train_loss=0.08398 validation_dice=0.76053 best=0.76321
epoch=026 train_loss=0.08245 validation_dice=0.76341 best=0.76341
epoch=027 train_loss=0.07926 validation_dice=0.75994 best=0.76341
epoch=028 train_loss=0.08311 validation_dice=0.76246 best=0.76341
epoch=029 train_loss=0.07740 validation_dice=0.75863 best=0.76341
epoch=030 train_loss=0.07737 validation_dice=0.76251 best=0.76341
epoch=031 train_loss=0.07944 validation_dice=0.76242 best=0.76341
epoch=032 train_loss=0.07494 validation_dice=0.76256 best=0.76341
epoch=033 train_loss=0.08190 validation_dice=0.76323 best=0.76341
epoch=034 train_loss=0.07687 validation_dice=0.76127 best=0.76341
epoch=035 train_loss=0.07908 validation_dice=0.76228 best=0.76341
epoch=036 train_loss=0.07787 validation_dice=0.76214 best=0.76341
epoch=037 train_loss=0.07608 validation_dice=0.76152 best=0.76341
epoch=038 train_loss=0.07401 validation_dice=0.76370 best=0.76370
epoch=039 train_loss=0.08329 validation_dice=0.76150 best=0.76370
epoch=040 train_loss=0.07347 validation_dice=0.76274 best=0.76370
epoch=041 train_loss=0.07690 validation_dice=0.76371 best=0.76371
epoch=042 train_loss=0.08128 validation_dice=0.76280 best=0.76371
epoch=043 train_loss=0.07937 validation_dice=0.76087 best=0.76371
epoch=044 train_loss=0.07430 validation_dice=0.76173 best=0.76371
epoch=045 train_loss=0.07522 validation_dice=0.76163 best=0.76371
epoch=046 train_loss=0.07426 validation_dice=0.76212 best=0.76371
epoch=047 train_loss=0.07871 validation_dice=0.76366 best=0.76371
epoch=048 train_loss=0.07621 validation_dice=0.76310 best=0.76371
epoch=049 train_loss=0.07804 validation_dice=0.76244 best=0.76371
epoch=050 train_loss=0.07708 validation_dice=0.76124 best=0.76371
epoch=051 train_loss=0.07803 validation_dice=0.76096 best=0.76371
epoch=052 train_loss=0.07672 validation_dice=0.76220 best=0.76371
epoch=053 train_loss=0.07564 validation_dice=0.76330 best=0.76371
    method_id  k  strategy  n_patients  n_patient_observations  mean_hidden_dice  mean_hidden_hd95_px  mean_area_curve_relative_rmse  mean_hidden_brier  mean_hidden_area_95_coverage  trust_gate_rejection_rate  mean_runtime_s
oa_hb_tpm_map  2 clustered          20                     100          0.768207             9.199681                       0.371143           0.031771                      0.994091                       1.00        0.037577
oa_hb_tpm_map  2    random          20                     100          0.767771             9.160178                       0.362468           0.031625                      0.985455                       0.83        0.037614
oa_hb_tpm_map  2   uniform          20                      20          0.768897             8.989814                       0.334244           0.030702                      0.970455                       0.05        0.040679
Checkpoint: private_data/ted_full/runs/oa_hb_tpm_map/fold2_k2_all_strategies/checkpoints/best_model.pt
