epoch,train_total,train_segmentation,train_observation,train_kl,train_cycle,train_temporal,train_mean_full_cycle_dice,validation_total,validation_segmentation,validation_observation,validation_kl,validation_cycle,validation_temporal,validation_mean_full_cycle_dice
0,1.501943333943685,1.5154908816019694,-0.17559051693727573,4.009735870361328,5.046565087004258e-07,0.00017306896140022824,0.3250789083040258,1.4300889730453492,1.457925796508789,-0.33192175030708315,5.355017375946045,6.096086924145539e-09,3.3115776386694054e-05,0.6312928777504314
1,1.3454890807469686,1.3830604314804078,-0.42642898162206017,5.06940024693807,7.112388689260266e-07,0.00020958647316244122,0.7031727885116609,1.2518359184265138,1.297643280029297,-0.522916054725647,6.48394889831543,4.670620379343404e-09,2.953598668682389e-05,0.7277775113584821
2,1.1471994002660115,1.200716741879781,-0.59696417649587,6.177151234944661,9.241900741881655e-07,0.00019018992291724619,0.7339519724818857,1.0300055861473083,1.0902926921844482,-0.6771365404129028,7.4262451171875,5.6857012431521525e-09,3.269637963967398e-05,0.7396370078915361
3,0.925111182530721,0.9925992051760356,-0.7431213816006979,6.821888287862142,8.664392745790413e-07,0.00021854244187125005,0.7395006611030858,0.8128946542739868,0.8863276720046998,-0.8172900438308716,8.295657348632812,5.635115707391947e-09,3.2251764787361024e-05,0.7412383868867729
4,0.7205815315246582,0.801188055674235,-0.8822461644808451,7.61615686416626,9.035162548650295e-07,0.00018912740512557017,0.7417365131528151,0.6224047303199768,0.7088196992874145,-0.955940306186676,9.178819465637208,3.3246544184351024e-09,2.490021870471537e-05,0.7468096178591956
5,0.5529271344343821,0.6464910785357157,-1.0209788084030151,8.532771650950114,4.734567060626915e-07,0.00011466538308013696,0.7467128151693088,0.4846519708633423,0.5840245962142945,-1.0945105314254762,10.078252601623536,2.0958016655470146e-09,1.8172289128415286e-05,0.7440109783038387
6,0.44056395888328553,0.5475516080856323,-1.160311770439148,9.042413647969564,4.725439678739581e-07,0.00010819289139665974,0.747885133607036,0.3917069673538208,0.5040769398212432,-1.2336138010025024,10.991275596618653,1.7829454246331976e-09,1.3828272312821354e-05,0.749684678928688
7,0.37327735622723895,0.49381420811017357,-1.3012403885523478,9.586267280578614,4.964688198845953e-07,8.949506403344761e-05,0.7480946110387626,0.3297744929790497,0.45563946962356566,-1.378244972229004,11.959451484680176,7.539035618009393e-10,8.732771675568074e-06,0.7527571943287655
8,0.32735826075077057,0.4607100307941437,-1.4471408287684122,11.361834208170572,3.7739112966894696e-07,4.592018200734553e-05,0.7492593412383188,0.3082388073205948,0.4478489518165588,-1.52551109790802,12.940864753723144,1.5829069832662412e-09,9.720870548335369e-06,0.7485743455900766
9,0.302246751387914,0.450069793065389,-1.593946393330892,11.570993487040202,3.700873088541279e-07,5.877041297329318e-05,0.7490765759195799,0.27775593996047976,0.43118980526924133,-1.6737914562225342,13.945230484008789,6.330333146564726e-10,6.084582037146902e-06,0.7421478121177296
10,0.2725486656030019,0.4350521186987559,-1.7456801096598307,12.063890329996745,8.292708512288213e-07,6.283830844040494e-05,0.7475284201533166,0.24839461743831634,0.4162404417991638,-1.8283907175064087,14.99318733215332,4.465063818681614e-10,5.2667506679426875e-06,0.7541105948932445
11,0.25378257979949315,0.4303731640179952,-1.9029271920522055,13.701748466491699,3.5619749430004786e-07,3.7155913166013006e-05,0.7477729712897438,0.23302285075187684,0.4156695008277893,-1.9872668266296387,16.079987716674804,3.710620477548332e-10,4.571762383420719e-06,0.7463546846102089
