method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,trust_gate_rejection_rate
oa_hb_tpm_map,2,clustered,98,490,0.7483792272524358,9.835566801820825,0.6035683000811112,0.03767764027591562,1.0
source_mean,2,clustered,98,490,0.7492024526766099,9.775952099602833,0.5910058645541089,0.03706357014574562,0.6326530612244898
target_only,2,clustered,98,490,0.7472482065554457,9.863290526413019,0.6046793647001762,0.03773648264836896,0.6183673469387755
oa_hb_tpm_map,2,random,98,490,0.7480995973005348,9.795665680641703,0.5984420888400708,0.03754831859461807,0.8816326530612245
source_mean,2,random,98,490,0.7487012746314408,9.76567153679749,0.5910058119804397,0.03702593671956227,0.5183673469387755
target_only,2,random,98,490,0.7468339086066056,9.851632941551914,0.6046046177031272,0.037715681131016796,0.6204081632653061
oa_hb_tpm_map,2,uniform,98,98,0.7471067693234541,9.723127745901676,0.5811139336915222,0.03703284330133876,0.061224489795918366
source_mean,2,uniform,98,98,0.7470736440368828,9.764946522256011,0.5910057312210149,0.0368193790829759,0.09183673469387756
target_only,2,uniform,98,98,0.7454765827936906,9.844625757312576,0.6016202259688399,0.03750497772719478,0.10204081632653061
oa_hb_tpm_map,3,clustered,98,490,0.749216515022097,9.880465728721518,0.6041207984767111,0.03773387782085606,0.8510204081632653
source_mean,3,clustered,98,490,0.7498685676899205,9.776412651519022,0.5911789192134583,0.03708925252324155,0.4857142857142857
target_only,3,clustered,98,490,0.7473355658931327,9.926662941463533,0.6056608235759552,0.03779014489252344,0.8673469387755102
oa_hb_tpm_map,3,random,98,490,0.7480805444969243,9.869137485834049,0.5983491524869972,0.03762327621747944,0.4816326530612245
source_mean,3,random,98,490,0.7486390322502888,9.78729942075153,0.5911788654300939,0.037063684464641325,0.35918367346938773
target_only,3,random,98,490,0.7459614289261115,9.954244639041386,0.6074254991615446,0.03786422873714136,0.5816326530612245
oa_hb_tpm_map,3,uniform,98,98,0.7479730106835344,9.81903679700917,0.5982313950139005,0.037369554710327324,0.061224489795918366
source_mean,3,uniform,98,98,0.7483662132330974,9.754310051258289,0.5911787124075556,0.03683092313989688,0.12244897959183673
target_only,3,uniform,98,98,0.7459908635860506,9.913366064932148,0.6082177908546216,0.03762907380884395,0.07142857142857142
oa_hb_tpm_map,5,clustered,98,490,0.7496235985029815,9.898249859465059,0.6062756794150874,0.037873430361933205,0.9387755102040817
source_mean,5,clustered,98,490,0.7510421824914191,9.758835577120935,0.590630103923439,0.03709170879530051,0.6428571428571429
target_only,5,clustered,98,490,0.7486960689841481,9.9218510354836,0.6077894362407205,0.03783250982512012,0.9979591836734694
oa_hb_tpm_map,5,random,98,490,0.7474850895379638,9.906574033141364,0.6056487720998103,0.03782141963780226,0.5510204081632653
source_mean,5,random,98,490,0.7492448565398707,9.756893304909962,0.5906301668717597,0.03699939167317074,0.5265306122448979
target_only,5,random,98,490,0.746836514532813,9.934328380309314,0.6082964094494832,0.037805907420661936,0.46122448979591835
oa_hb_tpm_map,5,uniform,98,98,0.7471042798551697,9.873389430977612,0.6001142460801803,0.037528471945195735,0.030612244897959183
source_mean,5,uniform,98,98,0.7481723950850272,9.756748485015084,0.5906301393649968,0.036873671511302136,0.11224489795918367
target_only,5,uniform,98,98,0.7458305837367238,9.921988531203663,0.6040037938814988,0.037578999625556886,0.08163265306122448
oa_hb_tpm_map,7,clustered,98,490,0.7500740891797811,9.875489527161502,0.6041119917033569,0.038008353518968294,1.0
source_mean,7,clustered,98,490,0.7520968130749952,9.754343624612812,0.5905146420207118,0.03721352211408769,0.39387755102040817
target_only,7,clustered,98,490,0.7492683697266508,9.876316417069946,0.6093447610235536,0.03778301092168805,1.0
oa_hb_tpm_map,7,random,98,490,0.7464223235743804,9.924165124524645,0.6031847729900743,0.03790527353139247,0.9408163265306122
source_mean,7,random,98,490,0.7486216372481291,9.776673357112893,0.5905146747014723,0.03705799209562183,0.33877551020408164
target_only,7,random,98,490,0.745413487581635,9.938781672898122,0.607548833928124,0.03774358478887952,0.926530612244898
oa_hb_tpm_map,7,uniform,98,98,0.7462912412030284,9.906493670988421,0.6031590892441143,0.0377270795252858,0.030612244897959183
source_mean,7,uniform,98,98,0.7482987615106861,9.762601334728089,0.5905146955648489,0.03689160034516632,0.08163265306122448
target_only,7,uniform,98,98,0.7453269326051501,9.92045375966589,0.6075011905735994,0.03756370523716413,0.14285714285714285
oa_hb_tpm_map,10,clustered,98,490,0.7526734086456824,9.877291999204127,0.6044488392911841,0.03810619091310971,0.6040816326530613
source_mean,10,clustered,98,490,0.7547049160629645,9.780012870424605,0.5904207223142702,0.03741245964656066,0.4346938775510204
target_only,10,clustered,98,490,0.751357837950536,9.906685636731394,0.6084788100622884,0.03787195792003549,0.0020408163265306124
oa_hb_tpm_map,10,random,98,490,0.7471420621528693,9.885685643991298,0.6025311474654094,0.037791750141020285,0.5102040816326531
source_mean,10,random,98,490,0.7495202747087772,9.749667828089677,0.5904207054710466,0.036959659291089145,0.39591836734693875
target_only,10,random,98,490,0.7462727269813251,9.918839334027318,0.6092071459854873,0.03765315051019491,0.01020408163265306
oa_hb_tpm_map,10,uniform,98,98,0.7462180468134634,9.903726620786552,0.6024932173507513,0.03775211440741403,0.10204081632653061
source_mean,10,uniform,98,98,0.7484152204503464,9.763256343163158,0.5904207335228411,0.036924723269683934,0.07142857142857142
target_only,10,uniform,98,98,0.7453767873601608,9.935109661027575,0.6092045612947822,0.03761193978277087,0.07142857142857142
