epoch,train_total,train_segmentation,train_observation,train_kl,train_cycle,train_temporal,train_mean_full_cycle_dice,validation_total,validation_segmentation,validation_observation,validation_kl,validation_cycle,validation_temporal,validation_mean_full_cycle_dice
0,1.4990196466445922,1.5155728022257486,-0.16553392944236597,0.0,1.632867739862857e-09,2.368411430021903e-05,0.35100830747676137,1.4112977266311646,1.443588376045227,-0.32291131615638735,0.0,4.352548721442418e-09,4.372219773358665e-05,0.6200333320488257
1,1.3422571738560996,1.383782450358073,-0.4152592023213704,0.0,5.824811447989002e-09,6.30165399343241e-05,0.7124318798579343,1.2338564157485963,1.285244607925415,-0.5138901829719543,0.0,9.213604812430277e-09,8.320116612594574e-05,0.7180806229159393
2,1.1432867685953776,1.2024880091349284,-0.5920212864875793,0.0,1.756111818925395e-08,8.886449116592605e-05,0.7411054449016526,1.019065833091736,1.0867160320281983,-0.6765115261077881,0.0,4.158122095532235e-08,9.375267982250079e-05,0.7236915803446484
3,0.9158108949661254,0.9902964512507121,-0.7448667089144388,0.0,1.3064173316479354e-07,0.00011109064410751065,0.7489507891555306,0.8041078686714173,0.8862629771232605,-0.8215652227401733,0.0,3.1185134616862344e-07,0.00014465379354078323,0.7221305636486831
4,0.7092079599698384,0.7979937632878621,-0.8878793716430664,0.0,7.996970888749881e-07,0.00020985437052634855,0.7471271371846796,0.6261171817779541,0.7224544763565064,-0.9633991599082947,0.0,1.319801754107175e-06,0.0002590841962955892,0.7248514509985303
5,0.5396384418010711,0.6426342646280925,-1.0299896796544392,0.0,2.143163722697257e-06,0.0003036008294050892,0.7548439792819255,0.4862518489360809,0.5968282043933868,-1.1058043003082276,0.0,4.061115760123357e-06,0.00038718218565918504,0.7291185365574504
6,0.4186737914880117,0.535932852824529,-1.1726324160893757,0.0,4.099177992126594e-06,0.0003980585044094672,0.754197851091026,0.41607871651649475,0.540920901298523,-1.2484624147415162,0.0,3.5139077681378696e-06,0.00038778092130087316,0.7238555201134915
7,0.35249089896678926,0.4841597855091095,-1.3167367696762085,0.0,5.130274666953483e-06,0.0004541824474775543,0.751560853519584,0.3937020480632782,0.5328936278820038,-1.3919668436050414,0.0,5.169512132852106e-06,0.0004822758550290018,0.7112073263601087
8,0.3072917550802231,0.4535880227883657,-1.4630092620849608,0.0,4.428245423090023e-06,0.00044350746708611647,0.7528741467789769,0.3273006647825241,0.48151408433914183,-1.5421860218048096,0.0,5.765626156062353e-06,0.000489967071916908,0.7251852912701674
9,0.2681208521127701,0.4292981207370758,-1.6118311405181884,0.0,6.902697047432109e-06,0.0005503592624639471,0.754435248241549,0.3016758292913437,0.4708720862865448,-1.6920263767242432,0.0,7.920743701106404e-06,0.0005993950762785971,0.7239172101232993
10,0.24183015922705334,0.4179927865664164,-1.7616878191630045,0.0,8.771803913987242e-06,0.0005721120784680048,0.7569384354181761,0.28309956192970276,0.467430567741394,-1.8433746099472046,0.0,1.1267960871919058e-05,0.0005890325061045587,0.7224607247458753
11,0.21946409046649934,0.41110987067222593,-1.9165240446726481,0.0,1.1368760776046353e-05,0.0006058122691077491,0.7564314081586649,0.2741880536079407,0.47324220538139344,-1.9906064510345458,0.0,1.0373607074143365e-05,0.0005987820331938565,0.7215476213318007
12,0.1975939323504766,0.40529048641522725,-2.0770302454630536,0.0,8.445248173908718e-06,0.0006045991205610335,0.7582964297693777,0.24836938381195067,0.46374109387397766,-2.1537822246551515,0.0,8.148234155669342e-06,0.0006105999695137143,0.7211128294028493
13,0.1855000339448452,0.40927285750706993,-2.237793032328288,0.0,8.42892595755984e-06,0.0006065742888798316,0.7545455269478872,0.22916437387466432,0.4615427553653717,-2.3238428592681886,0.0,3.805644200838287e-06,0.0005720978835597635,0.7238912284242032
14,0.17167436132828395,0.4125023086865743,-2.4083426634470624,0.0,4.762450089401682e-06,0.0006089334259741008,0.7516633507187268,0.2059996545314789,0.45575718879699706,-2.497640037536621,0.0,5.273265742289368e-06,0.0006207564962096513,0.7238094393169622
15,0.14937156364321708,0.40714399218559266,-2.5777844905853273,0.0,5.1284172210822964e-06,0.0005773717576327424,0.7545905750954994,0.192111474275589,0.4592616319656372,-2.671561908721924,0.0,3.62180521733535e-06,0.0005870409193448722,0.7222913292020499
16,0.12444452183942,0.3995005408922831,-2.750628423690796,0.0,3.89473425457254e-06,0.0006636168342083693,0.7566170045047076,0.17734190821647644,0.4609225273132324,-2.83587327003479,0.0,6.010068318573758e-06,0.0006416298099793493,0.7230640131464184
17,0.1073860312346369,0.39897759358088175,-2.9159775257110594,0.0,4.743112231153645e-06,0.0005956047602618734,0.7574439067016071,0.15814900323748587,0.459131121635437,-3.009878921508789,0.0,2.4883003789000215e-06,0.0005656146560795606,0.720343382534959
