candidate_method,reference_method,k,strategy,metric,difference_definition,n_paired_patients,mean_paired_difference,bootstrap_95_lower,bootstrap_95_upper,bootstrap_unit
hb_tpm_latent_mse,oa_hb_tpm_map,5,random,hidden_brier,candidate_minus_reference,98,-0.0006859723174450377,-0.0015662050560325865,0.00026309307954482976,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,uniform,mean_hidden_dice,candidate_minus_reference,98,0.003752883035744017,-0.003594592941508852,0.010737487947116382,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.4492763507848446,-0.864651547953731,-0.04470700065918638,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.03430784681487019,-0.0590088969001675,-0.010167643358977017,patient
hb_tpm_latent_mse,oa_hb_tpm_map,5,uniform,hidden_brier,candidate_minus_reference,98,-0.0004915811159476971,-0.0016334835451799587,0.0007040394579383451,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,clustered,mean_hidden_dice,candidate_minus_reference,98,0.007484886467204211,0.002070132841012173,0.012861815646510755,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.5999988197235551,-0.9228905926327357,-0.3014440195326705,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.050153050394712836,-0.07111725387148245,-0.027819131656089582,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,clustered,hidden_brier,candidate_minus_reference,98,-0.0012490048567403357,-0.002171155513710898,-0.0002969307245743676,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,random,mean_hidden_dice,candidate_minus_reference,98,0.007670866416274374,0.0003517248231132909,0.014703967563556597,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.7088160256720036,-1.1401638456044816,-0.28350918285209353,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.05760388691498868,-0.08415123131398565,-0.03194461441530876,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,random,hidden_brier,candidate_minus_reference,98,-0.0013977822885677515,-0.0026463286795805436,-0.00010485481542098266,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,uniform,mean_hidden_dice,candidate_minus_reference,98,0.00680174887894739,-0.0016911363987475217,0.014896079157820699,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.6928094173429855,-1.2002393528623045,-0.2083960255126892,patient
