method_id,k,strategy,n_patients,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse
oracle_contour_periodic_fourier,2,clustered,20,0.9404721654281966,2.277344107228781,0.10400655609563274
oracle_contour_periodic_fourier,2,random,20,0.9286687933983049,2.72681354577494,0.12931917544001398
oracle_contour_periodic_fourier,2,uniform,20,0.8885028513211728,4.237299873273117,0.21995627226326916
oracle_contour_periodic_fourier,3,clustered,20,0.9404951057771109,2.338752929553672,0.08979652859734134
oracle_contour_periodic_fourier,3,random,20,0.945039811694943,2.19026325869738,0.08599152281624294
oracle_contour_periodic_fourier,3,uniform,20,0.92999031301836,2.6584608598007216,0.07731725078988684
oracle_contour_periodic_fourier,5,clustered,20,0.9348394471938174,2.5180501497537855,0.11204144656410295
oracle_contour_periodic_fourier,5,random,20,0.9545781910452631,1.8570724673675947,0.05891184300274881
oracle_contour_periodic_fourier,5,uniform,20,0.9478428480775294,1.9328198471202327,0.03898499509645461
oracle_contour_periodic_fourier,7,clustered,20,0.924784324425605,2.8333179282570784,0.11806435831404341
oracle_contour_periodic_fourier,7,random,20,0.9612516979484895,1.621296801827959,0.05156479835437984
oracle_contour_periodic_fourier,7,uniform,20,0.9655805650255059,1.4055096791626622,0.026495208418499994
oracle_contour_periodic_fourier,10,clustered,20,0.9215804228446539,2.8602835744399426,0.1027315493378463
oracle_contour_periodic_fourier,10,random,20,0.9727797575494316,1.2696691230533586,0.0261807348313976
oracle_contour_periodic_fourier,10,uniform,20,0.9847968394456721,1.0,0.013687446130436579
