epoch,train_total,train_segmentation,train_observation,train_kl,train_cycle,train_temporal,train_mean_full_cycle_dice,validation_total,validation_segmentation,validation_observation,validation_kl,validation_cycle,validation_temporal,validation_mean_full_cycle_dice
0,1.5160280863444011,1.5148814916610718,0.000932737950157995,1.0490014950434368,9.153670043578661e-07,0.0004299542391284679,0.33063230786449443,1.4578378438949584,1.456873607635498,0.00043792084907181563,0.917538332939148,1.907319298055654e-08,0.0002931565803010017,0.6346496706690515
1,1.3819458564122518,1.3809688329696654,0.0005116367615604152,0.9229179978370666,4.1191205705596684e-07,0.00029564433304282527,0.7073248415531337,1.2967635631561278,1.2959147453308106,0.00038149895262904463,0.8077208399772644,3.0248806126564887e-08,0.0002932391653303057,0.7295705707053239
2,1.1990809758504233,1.198242465655009,0.00037216431034418446,0.7985051314036051,2.646915769825379e-07,0.0002791306576303517,0.7352588510530625,1.0893304586410522,1.0885774135589599,0.000282967701787129,0.722017478942871,6.548459623445524e-08,0.00027051278739236294,0.741501468730746
3,0.9908478021621704,0.9901058038075765,0.00024064137639167408,0.7145723422368367,5.470548913422136e-07,0.00033326712728012355,0.7399421215780442,0.8861929893493652,0.8855221748352051,0.0002471736923325807,0.6431882977485657,1.2238212860893326e-07,0.00029009750578552486,0.7405749214747198
4,0.7997181097666423,0.7990613579750061,0.00019882409930384407,0.633943776289622,3.071694640273866e-07,0.0002928727287023018,0.7423354332245882,0.7072933793067933,0.7066966414451599,0.00015096879797056318,0.5783972859382629,1.9929418044739576e-07,0.0003265504143200815,0.7481556839128491
5,0.6464045524597168,0.6458174864451091,0.00017375901030997437,0.5660723805427551,8.243798466385972e-07,0.0003555898661337172,0.7467689315356995,0.585690689086914,0.5851365566253662,0.0003416504303459078,0.5148223996162414,1.342600057796517e-06,0.0005066794343292713,0.7427052842219876
6,0.5467269261678059,0.5461489439010621,0.0005705619386086861,0.5166852633158366,1.7188980336868553e-06,0.00041431730496697126,0.7487287413916309,0.5025618731975555,0.5020421922206879,0.0003154945967253298,0.482869154214859,2.937688850579434e-06,0.0005111735896207392,0.7484727601115397
7,0.49209584792455036,0.4915919204552968,0.00030148706573527304,0.4691212276617686,5.074773798696697e-06,0.0004397728422190994,0.7496015001409455,0.45274856090545657,0.45227122902870176,0.0003625366371124983,0.43464481830596924,6.130737710918766e-06,0.0006119437166489661,0.7541932340326769
8,0.4593951880931854,0.4589192748069763,0.0005076182676324,0.41850730776786804,9.009474069898715e-06,0.0006199249570878843,0.7506337154777126,0.44449222683906553,0.44400367736816404,0.0008089726907201111,0.39906413555145265,6.358429527608678e-06,0.0008256251690909267,0.7499245122373512
9,0.44665308197339376,0.4461677153905233,0.0008974856580607593,0.38810412685076395,9.652093907182764e-06,0.0007032658051078518,0.7508877502091574,0.42682442665100095,0.4263950765132904,0.0005708739976398647,0.35953163504600527,1.336403456662083e-05,0.0012059861328452826,0.7461879630014009
