epoch,train_total,train_segmentation,train_observation,train_kl,train_cycle,train_temporal,train_mean_full_cycle_dice,validation_total,validation_segmentation,validation_observation,validation_kl,validation_cycle,validation_temporal,validation_mean_full_cycle_dice
0,1.4957398653030396,1.5091242472330728,-0.1738770831997196,4.001579888661703,4.6651189945142353e-07,0.0001736613266984932,0.35963321266416515,1.431894588470459,1.4596112012863158,-0.33066290616989136,5.349402809143067,6.658839835083086e-09,3.1205998311634175e-05,0.6366618828600181
1,1.3402725458145142,1.37763561407725,-0.42466976046562194,5.101904042561849,4.275347612973472e-07,0.0002019323015701957,0.6998286094679648,1.2530948877334596,1.2988242626190185,-0.5220794558525086,6.478289985656739,5.3510314401705726e-09,2.845611670636572e-05,0.722039434645473
2,1.1417630116144817,1.1954237937927246,-0.5964120745658874,5.97774403889974,1.2378084704778302e-06,0.00026577586346926787,0.7271795999569984,1.033764362335205,1.094020390510559,-0.6767969250679016,7.423352336883545,4.598920888554403e-09,3.0440817863564006e-05,0.7398313546862849
3,0.9219051559766134,0.9894200801849365,-0.742357337474823,6.718578783671061,9.489203644630351e-07,0.00021648156422694834,0.7323497817866891,0.816153621673584,0.8895017385482789,-0.8164023280143737,8.291818428039551,4.2311981474085766e-09,2.9040699155302717e-05,0.7380677939816734
4,0.7183452606201172,0.7989654938379923,-0.8810767769813538,7.485566933949788,7.363338127674979e-07,0.0001839393868673748,0.73603968044771,0.6291103720664978,0.7154496908187866,-0.9551538228988647,9.175803184509277,2.8969297627412517e-09,2.3257363864104263e-05,0.7420314444770886
5,0.5594827055931091,0.6531749844551087,-1.0196636319160461,8.27258529663086,6.602060631818081e-07,0.00014669124041877997,0.7371962159905215,0.48359124064445497,0.5827925205230713,-1.0927334785461427,10.071894645690918,1.815946371053201e-09,1.6738034537411296e-05,0.753289623423533
6,0.4595255513985952,0.5664257705211639,-1.1589415550231934,8.992897224426269,4.943796572121073e-07,0.00010090425906431241,0.7335717167064716,0.3949921131134033,0.5073884844779968,-1.233910083770752,10.994516181945801,1.5007838749525604e-09,1.2726461500278674e-05,0.7509899385163615
7,0.3824754556020101,0.5025721728801728,-1.3007376591364543,9.976128578186035,8.530594945987957e-07,8.805326566895625e-05,0.7402421872985233,0.3376020908355713,0.463410884141922,-1.3776081562042237,11.951924896240234,1.7818322595175572e-09,1.144244506576797e-05,0.7528916878908977
8,0.34173506995042163,0.47557515899340314,-1.4449820518493652,10.657103856404623,1.3918500697762682e-06,9.487586430623196e-05,0.7362342680217393,0.31070858240127563,0.44968761801719664,-1.5188223838806152,12.903118133544922,1.1044249625946633e-09,8.73494445841061e-06,0.7504070159568313
9,0.3130669136842092,0.46063754757245384,-1.5916997194290161,11.598811594645182,2.1688295766727114e-07,5.219933767269443e-05,0.7404095033409903,0.26856900155544283,0.421987920999527,-1.6736218929290771,13.943194961547851,1.1570952418438197e-09,7.683102285227506e-06,0.7575906172311452
10,0.2921285301446915,0.45439013044039406,-1.746027414004008,12.340704154968261,1.9731959509291148e-07,4.319955575435112e-05,0.7332202790560826,0.2532983899116516,0.42097251415252684,-1.8266391277313232,14.989726448059082,7.875636809373532e-10,6.4039369135571175e-06,0.7533363058663012
