method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,mean_hidden_area_95_coverage,trust_gate_rejection_rate,mean_runtime_s
target_only,10,clustered,19,95,0.7617544358478482,9.481088899511764,0.9588502655382585,0.03580262804109799,0.10075187969924812,0.0,0.028333183691689842
target_only,10,random,19,95,0.7523902992963704,9.738832814370578,0.9603054988774614,0.03625176507783563,0.048120300751879695,0.0,0.028363142684592228
target_only,10,uniform,19,19,0.7499917347386419,9.826172987008661,0.9603058884287174,0.03646198738562433,0.011278195488721804,0.0,0.03003168234748668
