method_id,fold,k,prior_mean_l2,prior_harmonic_energy_fraction,mean_prior_covariance_trace,median_prior_covariance_condition_number,mean_absolute_prior_correlation,checkpoint_tensor_count
hb_tpm_latent_mse,0,10,0.37606492672202113,0.904621495946975,6.331494688192892,1.334753812973875,0.019569284608248562,36
hb_tpm_latent_mse,0,2,0.2052995627241511,0.9627382002202719,6.821868636898645,1.0910905176382633,0.00762970546864775,36
hb_tpm_latent_mse,0,3,0.2171892167291287,0.9307129991539543,6.79982201834328,1.1331266063063796,0.011236431076052721,36
hb_tpm_latent_mse,0,5,0.20622223403619064,0.8756919864288535,6.769430161197242,1.1295675218879393,0.010990270080333257,36
hb_tpm_latent_mse,0,7,0.353709937864198,0.9050834788563284,6.135570098688072,1.401982322334253,0.02394657417323067,36
hb_tpm_latent_mse,1,10,0.3020376720463411,0.8843061526681129,6.212282433264194,1.3737164152508248,0.022118132945034473,36
hb_tpm_latent_mse,1,2,0.26840315647667456,0.9737574603931335,6.675909519001454,1.1466558991525213,0.011918250218245253,36
hb_tpm_latent_mse,1,3,0.2380091137133274,0.9440278136272778,6.361244302093809,1.3958022148010554,0.02616518340178984,36
hb_tpm_latent_mse,1,5,0.259865479954006,0.9149038142008875,6.377951633659993,1.3230041480497574,0.020349901730309705,36
hb_tpm_latent_mse,1,7,0.2981031863463084,0.9028850067364697,6.39183785157222,1.264997643105824,0.017761658574964867,36
hb_tpm_latent_mse,2,10,0.3101524281815493,0.9187854939415452,6.008527744980377,1.5638941584509176,0.029403715403290405,36
hb_tpm_latent_mse,2,2,0.23749893108955003,0.974606446836925,5.931311659633281,2.325931590865021,0.04535797657338984,36
hb_tpm_latent_mse,2,3,0.25123793700745384,0.9634298818400534,6.087806960955397,1.7297538669619357,0.03974132489732066,36
hb_tpm_latent_mse,2,5,0.2426068629326268,0.9305122127975897,6.102280273821476,1.6469057488784635,0.02989899239750024,36
hb_tpm_latent_mse,2,7,0.280973367417077,0.921075590603128,6.023290751831592,1.5666135708699316,0.02683650487627022,36
hb_tpm_latent_mse,3,10,0.09190833076981689,0.5558784586001208,6.824118818503752,1.0738725445707482,0.005074122014346654,36
hb_tpm_latent_mse,3,2,0.08638105219894443,0.7998520441402768,6.860586709898648,1.062235645601406,0.00521511404307513,36
hb_tpm_latent_mse,3,3,0.09798249467075883,0.7302874301282456,6.856512844355157,1.077065522685311,0.0071698319875359035,36
hb_tpm_latent_mse,3,5,0.09743110921334595,0.6199715452977744,6.838384824945258,1.0779480881243442,0.006844413549465778,36
hb_tpm_latent_mse,3,7,0.09220114119286757,0.5560121986878098,6.8300174156293245,1.0731322221855115,0.005076561897873088,36
hb_tpm_latent_mse,4,10,0.08420916533304026,0.5427657908562131,6.848815560664753,1.0642725742026127,0.004419550676722954,36
hb_tpm_latent_mse,4,2,0.07164727212117444,0.7302522615866023,6.876415224695604,1.0612997476138557,0.004860659433751246,36
hb_tpm_latent_mse,4,3,0.08530961524374524,0.6882666169225532,6.871925785651417,1.0687867717322126,0.006490687695593438,36
hb_tpm_latent_mse,4,5,0.08637611234420614,0.5721450174082291,6.859639803848558,1.067865898149449,0.005947104457638163,36
hb_tpm_latent_mse,4,7,0.08283717455217528,0.5092210970623888,6.854556455060347,1.0623510836380514,0.004486621883618754,36
oa_hb_tpm_isotropic_prior,0,10,0.12813838046655593,0.6909947226041151,6.640910443951938,1.0,0.0,36
oa_hb_tpm_isotropic_prior,0,2,0.1769343528370632,0.9589520427102498,6.6406984561088445,1.0,0.0,36
oa_hb_tpm_isotropic_prior,0,3,0.17591574835387117,0.9035876173329799,6.638769230048702,1.0,0.0,36
oa_hb_tpm_isotropic_prior,0,5,0.16766819965314092,0.8362469500572361,6.631776196333138,1.0,0.0,36
oa_hb_tpm_isotropic_prior,0,7,0.12396503875984934,0.6836671442773083,6.633439960509009,1.0,0.0,36
oa_hb_tpm_isotropic_prior,1,10,0.13342727575503968,0.6958615351635075,6.202915108372208,1.0,0.0,36
oa_hb_tpm_isotropic_prior,1,2,0.2951601663148592,0.9806809427910345,6.207819659793091,1.0,0.0,36
oa_hb_tpm_isotropic_prior,1,3,0.26461774831324414,0.9464677444830109,6.29505737624466,1.0,0.0,36
oa_hb_tpm_isotropic_prior,1,5,0.29960140419017217,0.9397508234044392,6.183137157032799,1.0,0.0,36
oa_hb_tpm_isotropic_prior,1,7,0.13585126113219329,0.7066574001724505,6.182493344720106,1.0,0.0,36
oa_hb_tpm_isotropic_prior,2,10,0.14555024550847487,0.7045082837749483,5.941847518676658,1.0,0.0,36
oa_hb_tpm_isotropic_prior,2,2,0.3413772942468528,0.9852101898992469,5.818930332866212,1.0,0.0,36
oa_hb_tpm_isotropic_prior,2,3,0.34035556041490156,0.9668297787647575,5.816714650814893,1.0,0.0,36
oa_hb_tpm_isotropic_prior,2,5,0.23643142100348266,0.9020242127500909,6.243810733480947,1.0,0.0,36
oa_hb_tpm_isotropic_prior,2,7,0.16518147849100026,0.7648414618455238,5.917679843767517,1.0,0.0,36
oa_hb_tpm_isotropic_prior,3,10,0.08031782727612065,0.5885276086483388,6.806729947029603,1.0,0.0,36
oa_hb_tpm_isotropic_prior,3,2,0.07677447149469374,0.818078339457527,6.8066195687075215,1.0,0.0,36
oa_hb_tpm_isotropic_prior,3,3,0.0861651965701328,0.7048060280666939,6.8048170141545326,1.0,0.0,36
oa_hb_tpm_isotropic_prior,3,5,0.08515063213497677,0.6026359395258237,6.803717182742451,1.0,0.0,36
oa_hb_tpm_isotropic_prior,3,7,0.07842162610494756,0.533426494713737,6.805212078756812,1.0,0.0,36
oa_hb_tpm_isotropic_prior,4,10,0.07285800942283116,0.5697680835884537,6.838079045879905,1.0,0.0,36
oa_hb_tpm_isotropic_prior,4,2,0.06484508178322361,0.7396709420912518,6.840407227937174,1.0,0.0,36
oa_hb_tpm_isotropic_prior,4,3,0.07999078647316778,0.7023329135581933,6.838481900886416,1.0,0.0,36
oa_hb_tpm_isotropic_prior,4,5,0.07383975065158552,0.5602932884594792,6.8363818333821085,1.0,0.0,36
oa_hb_tpm_isotropic_prior,4,7,0.07009797762540329,0.49531128793919676,6.836487957307139,1.0,0.0,36
oa_hb_tpm_map,0,10,0.1262855215993653,0.6942165447235578,6.6338663901343455,1.1194360677625692,0.009172831137368264,36
oa_hb_tpm_map,0,2,0.17527572276392134,0.9581286007830716,6.807424883943581,1.1023175012056736,0.009252627015727679,36
oa_hb_tpm_map,0,3,0.1721442911640453,0.902477869602774,6.766218911612353,1.1495571539108762,0.014459991234446731,36
oa_hb_tpm_map,0,5,0.16487828888596912,0.8390653855245267,6.6946971853878265,1.149047095272962,0.013375879129278042,36
oa_hb_tpm_map,0,7,0.12274120739266758,0.6884689100286241,6.64546176304742,1.1218957564793977,0.009391156185205054,36
oa_hb_tpm_map,1,10,0.13298643722910566,0.7046907975792944,6.232047590958963,1.1985755525609931,0.013490175241663151,36
oa_hb_tpm_map,1,2,0.29044691641133213,0.9803598533161305,6.721888410435131,1.158881447580028,0.014588989577336932,36
oa_hb_tpm_map,1,3,0.25658318158656174,0.9488600565763066,6.680020014757533,1.2314025496877334,0.020897551340502293,36
