contrast,candidate_method,reference_method,scope,level,metric,n_paired_patients,candidate_mean,reference_mean,mean_paired_difference,relative_change_percent,bootstrap_95_lower,bootstrap_95_upper,interval_interpretation,difference_definition,bootstrap_unit
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k,7,area_curve_relative_rmse,98,0.6034852846458485,0.603475962016205,9.322629643517983e-06,0.001544822036054461,-3.4632376214017983e-05,5.3183093986090214e-05,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k,7,hidden_brier,98,0.03788023552521552,0.03788033429292489,-9.87677093666927e-08,-0.00026073610808957426,-1.55882182891986e-06,1.3535060178560322e-06,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k,10,mean_hidden_dice,98,0.748677839204005,0.7486765823775089,1.256826496217202e-06,0.0001678730877658821,-1.5911091206517867e-05,1.7365942625792974e-05,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k,10,mean_hidden_hd95_px,98,9.888901421327324,9.890289299798598,-0.0013878784712722998,-0.014032738873478272,-0.0024513009979151472,-0.0003751335021157631,beneficial,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k,10,area_curve_relative_rmse,98,0.6031577347024483,0.6031022773975128,5.545730493544515e-05,0.009195339996849737,1.7488966590400282e-05,9.527973235944947e-05,harmful,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k,10,hidden_brier,98,0.03788335182051467,0.03788358257057103,-2.3075005635094977e-07,-0.0006091030485860187,-1.6826295553629116e-06,1.2290621885924134e-06,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,clustered,mean_hidden_dice,98,0.7499933677205955,0.7500800423330954,-8.667461249988952e-05,-0.011555381773695968,-0.000339070720105569,0.0001606080406994741,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,clustered,mean_hidden_hd95_px,98,9.873412783274606,9.872007344179996,0.001405439094608643,0.014236609086775185,-0.004858477754789883,0.007311048073705995,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,clustered,area_curve_relative_rmse,98,0.60450512179349,0.6040627482192372,0.00044237357425288404,0.07323304996988987,0.00010067605639707554,0.0007563851534208618,harmful,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,clustered,hidden_brier,98,0.03787989857815657,0.0378729715582211,6.92701993548156e-06,0.01829014109662042,-3.926057075815649e-05,5.076412874634994e-05,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,random,mean_hidden_dice,98,0.7474459234125346,0.7475538878695226,-0.00010796445698818945,-0.01444236445560878,-0.000363910326392392,0.00015054622398297138,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,random,mean_hidden_hd95_px,98,9.876245593626612,9.873543802797998,0.002701790828611681,0.027363942294417513,-0.00412800589771858,0.009124296370677158,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,random,area_curve_relative_rmse,98,0.6016311867764724,0.6010084772078362,0.0006227095686360849,0.10361077958984331,0.00023231256632647842,0.0009976329155374757,harmful,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,random,hidden_brier,98,0.037738007624462507,0.03772303237750818,1.4975246954328392e-05,0.0396978874987186,-3.3280418454004005e-05,5.919202126334486e-05,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,uniform,mean_hidden_dice,98,0.7469386695757301,0.7470120340373887,-7.336446165872284e-05,-0.009821054858006596,-0.0003458854544863889,0.00021081297682029167,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,uniform,mean_hidden_hd95_px,98,9.845154853132687,9.845032315259191,0.00012253787349442825,0.0012446670520776465,-0.00634254104317487,0.0061831992705910915,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,uniform,area_curve_relative_rmse,98,0.5970223762760937,0.5967354003190248,0.0002869759570690187,0.04809098922497249,-4.166334228433948e-05,0.0005994360153926032,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,strategy,uniform,hidden_brier,98,0.03748201277791233,0.037473091019355476,8.921758556853524e-06,0.02380844044128969,-3.835983783462744e-05,5.42814983530193e-05,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k_strategy,k2_clustered,mean_hidden_dice,98,0.7483792272524358,0.7489027380567713,-0.0005235108043353593,-0.06990371082014579,-0.0017333414493001505,0.0007257494592017703,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k_strategy,k2_clustered,mean_hidden_hd95_px,98,9.835566801820825,9.825131428788573,0.010435373032253363,0.10621102738307116,-0.019585524476797095,0.03972463086398497,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k_strategy,k2_clustered,area_curve_relative_rmse,98,0.6035683000811113,0.6008470703597426,0.002721229721368557,0.4528988915164863,0.001226509187605665,0.004173648023451641,harmful,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k_strategy,k2_clustered,hidden_brier,98,0.03767764027591562,0.03762184628950693,5.5793986408688345e-05,0.14830209548819986,-0.000170966780611445,0.0002758052769801312,inconclusive,candidate_minus_reference,patient_stratified_within_fold
full_vs_isotropic_prior,oa_hb_tpm_map,oa_hb_tpm_isotropic_prior,k_strategy,k2_random,mean_hidden_dice,98,0.7480995973005348,0.7486813448421836,-0.0005817475416486622,-0.07770295675943284,-0.0018822239801420503,0.0007410711849577855,inconclusive,candidate_minus_reference,patient_stratified_within_fold
