method_id,strategy,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse,hidden_brier,trust_gate_rejection_rate
hb_tpm_latent_mse,clustered,0.7548226516132032,9.456651643359852,0.5707293450647465,0.03719887232597989,0.1946938775510204
hb_tpm_latent_mse,random,0.752656772050335,9.401556615775585,0.5644817758369042,0.03690313415639858,0.1783673469387755
hb_tpm_latent_mse,uniform,0.7520330252932751,9.360627466482416,0.5586437805380394,0.03665702254226312,0.11428571428571428
oa_hb_tpm_isotropic_prior,clustered,0.7500800423330954,9.872007344179996,0.6040627482192373,0.0378729715582211,0.8738775510204081
oa_hb_tpm_isotropic_prior,random,0.7475538878695227,9.873543802797998,0.6010084772078362,0.03772303237750818,0.6746938775510205
oa_hb_tpm_isotropic_prior,uniform,0.7470120340373887,9.845032315259191,0.5967354003190248,0.037473091019355476,0.06326530612244897
oa_hb_tpm_map,clustered,0.7499933677205955,9.873412783274606,0.6045051217934903,0.03787989857815657,0.8787755102040817
oa_hb_tpm_map,random,0.7474459234125346,9.876245593626612,0.6016311867764724,0.037738007624462507,0.673061224489796
oa_hb_tpm_map,uniform,0.74693866957573,9.845154853132687,0.5970223762760937,0.03748201277791233,0.05714285714285714
oa_hb_tpm_no_phase_alignment,clustered,0.7501135284088817,9.871331698614295,0.6039505001780965,0.037867486320664036,0.8791836734693877
oa_hb_tpm_no_phase_alignment,random,0.7475778340530301,9.87312743184718,0.600945485862585,0.03772069001988484,0.6657142857142857
oa_hb_tpm_no_phase_alignment,uniform,0.7470466621632357,9.843352452502527,0.5968191957817292,0.03747271780608863,0.05918367346938776
source_mean,clustered,0.7513829863991819,9.769111364656043,0.5907500504051976,0.0371741026449872,0.5179591836734694
source_mean,random,0.7489454150757013,9.76724108953231,0.5907500448909624,0.03702133284881706,0.4277551020408163
source_mean,uniform,0.748065246863208,9.760372547284126,0.5907500024162515,0.03686805946980504,0.09591836734693877
target_only,clustered,0.7487812098219827,9.8989613114323,0.6071906391205388,0.03780282124154721,0.6971428571428572
target_only,random,0.746263613325698,9.91956539356561,0.6074165012455532,0.03775651051757891,0.52
target_only,uniform,0.7456003500163552,9.90710875482837,0.6061095125146683,0.03757773923630612,0.09387755102040816
