method_id,fold,k,best_epoch,best_validation_patient_mean_dice,n_history_epochs,final_validation_mean_full_cycle_dice,minimum_validation_total,final_validation_total
hb_tpm_latent_mse,0,10,40,0.7649444124904561,53,0.7628596053249759,0.3706242799758911,0.3729478776454925
hb_tpm_latent_mse,0,2,10,0.7578026254582279,23,0.7474511849504688,0.3900278925895691,0.4075409829616546
hb_tpm_latent_mse,0,3,10,0.7561273745299985,23,0.7471628139381685,0.3896319985389709,0.4081916570663452
hb_tpm_latent_mse,0,5,10,0.7555139648332294,23,0.7462068174614771,0.3894418895244598,0.4093950033187866
hb_tpm_latent_mse,0,7,53,0.7677041923295473,66,0.7601386126714542,0.3682188689708709,0.382399308681488
hb_tpm_latent_mse,1,10,42,0.7816245654704581,55,0.7748601468103968,0.3665546357631683,0.3665546357631683
hb_tpm_latent_mse,1,2,24,0.7726272408547821,37,0.7651192329511234,0.3720948755741119,0.3825012147426605
hb_tpm_latent_mse,1,3,35,0.7771461358693852,48,0.7670057376598975,0.3705422222614288,0.3739659607410431
hb_tpm_latent_mse,1,5,35,0.7795709563486833,48,0.7676641863953042,0.3688858389854431,0.3744081199169159
hb_tpm_latent_mse,1,7,35,0.7759404557953664,48,0.7684461994094767,0.3721071660518646,0.3744840145111084
hb_tpm_latent_mse,2,10,51,0.7912756820213934,64,0.781765588790796,0.3370045483112335,0.3535362124443054
hb_tpm_latent_mse,2,2,69,0.785454488497064,80,0.7467854740986619,0.3457898259162902,0.4046886682510376
hb_tpm_latent_mse,2,3,55,0.7920627314774334,68,0.7850382232481846,0.3341205358505249,0.3460759222507477
hb_tpm_latent_mse,2,5,55,0.796264011762565,68,0.7808613291344482,0.3261534035205841,0.3505022644996643
hb_tpm_latent_mse,2,7,55,0.7939271202973318,68,0.7702483245492869,0.3306556165218353,0.3662112653255462
hb_tpm_latent_mse,3,10,5,0.7286151044366673,18,0.7197123272210991,0.4544757306575775,0.4616571128368377
hb_tpm_latent_mse,3,2,5,0.7287433589373555,18,0.7202438812876845,0.4531563818454742,0.459875601530075
hb_tpm_latent_mse,3,3,5,0.7289912711060811,18,0.7219881704209306,0.4510607302188873,0.4576619148254394
hb_tpm_latent_mse,3,5,5,0.7288332358810413,18,0.7231732711805774,0.4505689918994903,0.4557363450527191
hb_tpm_latent_mse,3,7,5,0.7287762712952093,18,0.7221629653256249,0.4517295122146606,0.4574470698833465
hb_tpm_latent_mse,4,10,4,0.7437162822502537,17,0.7278281954558596,0.4397100031375885,0.4494006037712097
hb_tpm_latent_mse,4,2,4,0.7442773659688972,17,0.7287760416353116,0.4386728346347809,0.4479757249355316
hb_tpm_latent_mse,4,3,4,0.7442156186260774,17,0.728519504950366,0.4372329175472259,0.4481829285621643
hb_tpm_latent_mse,4,5,4,0.7443066354150893,17,0.7276170923526883,0.4376221120357513,0.4496497333049774
hb_tpm_latent_mse,4,7,4,0.7438328104117452,17,0.7278851265454045,0.4386813402175903,0.4490638554096222
oa_hb_tpm_isotropic_prior,0,10,10,0.7541176035468078,23,0.7466441467678124,0.0735819262452423,0.082774850167334
