method_id,strategy,metric,n_patients,spearman_rho_trust_vs_error,bootstrap_95_lower,bootstrap_95_upper,bootstrap_unit
hb_tpm_latent_mse,clustered,mean_hidden_dice,98,-0.06497331828701489,-0.2584742506245395,0.12550014127853157,patient
hb_tpm_latent_mse,clustered,mean_hidden_hd95_px,98,-0.13604804621004912,-0.3241144526203115,0.05722994533668622,patient
hb_tpm_latent_mse,clustered,area_curve_relative_rmse,98,-0.5227511810722414,-0.6715866987624071,-0.35082449202948024,patient
hb_tpm_latent_mse,random,mean_hidden_dice,98,-0.060280907114485895,-0.2524850215938062,0.1350733974816645,patient
hb_tpm_latent_mse,random,mean_hidden_hd95_px,98,-0.14785558084527153,-0.3324479083122413,0.04143111314205292,patient
hb_tpm_latent_mse,random,area_curve_relative_rmse,98,-0.5125375361016008,-0.6704249076567608,-0.34074715342726974,patient
hb_tpm_latent_mse,uniform,mean_hidden_dice,98,-0.036130290916741574,-0.22194501976379566,0.1517394573544269,patient
hb_tpm_latent_mse,uniform,mean_hidden_hd95_px,98,-0.1445657925775746,-0.334657857398896,0.04745786052331222,patient
hb_tpm_latent_mse,uniform,area_curve_relative_rmse,98,-0.43274104393397467,-0.5892297925603286,-0.2547825956020895,patient
oa_hb_tpm_isotropic_prior,clustered,mean_hidden_dice,98,0.12207282163099539,-0.08200500259461274,0.32370473876160377,patient
oa_hb_tpm_isotropic_prior,clustered,mean_hidden_hd95_px,98,0.14943671939253675,-0.05683935375366408,0.3522460577219051,patient
oa_hb_tpm_isotropic_prior,clustered,area_curve_relative_rmse,98,0.503445989454826,0.3553803814764099,0.6352602493583189,patient
oa_hb_tpm_isotropic_prior,random,mean_hidden_dice,98,0.1039024794547622,-0.09953728312443466,0.2986003102323579,patient
oa_hb_tpm_isotropic_prior,random,mean_hidden_hd95_px,98,0.1462361889460564,-0.05864076882303363,0.3400742894074351,patient
oa_hb_tpm_isotropic_prior,random,area_curve_relative_rmse,98,0.47450095314601937,0.30648625499877097,0.6200194918512332,patient
oa_hb_tpm_isotropic_prior,uniform,mean_hidden_dice,98,0.034600156838742985,-0.16273168731725063,0.21949934035704066,patient
oa_hb_tpm_isotropic_prior,uniform,mean_hidden_hd95_px,98,0.07665334174907075,-0.12009229793399086,0.27581545014300807,patient
oa_hb_tpm_isotropic_prior,uniform,area_curve_relative_rmse,98,0.45617759756198634,0.2839924896339555,0.6131061236254445,patient
oa_hb_tpm_map,clustered,mean_hidden_dice,98,0.11330005291713685,-0.09543497402434592,0.31215644377600343,patient
oa_hb_tpm_map,clustered,mean_hidden_hd95_px,98,0.14234709816447663,-0.06479629048754909,0.3493920405710496,patient
oa_hb_tpm_map,clustered,area_curve_relative_rmse,98,0.4628336808012802,0.3078591654186757,0.6012328628914146,patient
oa_hb_tpm_map,random,mean_hidden_dice,98,0.09088358867445759,-0.11668676856585031,0.3016080819072674,patient
oa_hb_tpm_map,random,mean_hidden_hd95_px,98,0.13664734872393192,-0.0692983762775336,0.33645543050413235,patient
oa_hb_tpm_map,random,area_curve_relative_rmse,98,0.48743058610510737,0.31952099383390886,0.6363346090564839,patient
oa_hb_tpm_map,uniform,mean_hidden_dice,98,0.036704091195991044,-0.15671742534236988,0.22750982898495778,patient
oa_hb_tpm_map,uniform,mean_hidden_hd95_px,98,0.07823448029633596,-0.12176260993373053,0.2760828463880488,patient
oa_hb_tpm_map,uniform,area_curve_relative_rmse,98,0.45407366320473824,0.2822864439614915,0.6094956541551663,patient
oa_hb_tpm_no_phase_alignment,clustered,mean_hidden_dice,98,0.12016015403349717,-0.08196119469808084,0.3192403123214985,patient
oa_hb_tpm_no_phase_alignment,clustered,mean_hidden_hd95_px,98,0.14403024565027508,-0.0684946241306752,0.34519053796052807,patient
oa_hb_tpm_no_phase_alignment,clustered,area_curve_relative_rmse,98,0.44641024169742866,0.2898704375037586,0.5868138035212178,patient
oa_hb_tpm_no_phase_alignment,random,mean_hidden_dice,98,0.09982212191343265,-0.10711309321870045,0.3027948729035315,patient
oa_hb_tpm_no_phase_alignment,random,mean_hidden_hd95_px,98,0.14042167944966175,-0.06470465743463488,0.3372666731815131,patient
oa_hb_tpm_no_phase_alignment,random,area_curve_relative_rmse,98,0.48716281264145767,0.3201343576647431,0.6287146072202175,patient
oa_hb_tpm_no_phase_alignment,uniform,mean_hidden_dice,98,0.039649599296138316,-0.15322917807118439,0.2320801111417476,patient
oa_hb_tpm_no_phase_alignment,uniform,mean_hidden_hd95_px,98,0.08218732666449897,-0.12458382314685792,0.2784040873447734,patient
oa_hb_tpm_no_phase_alignment,uniform,area_curve_relative_rmse,98,0.45610109085808637,0.2856533300082065,0.6140473730007014,patient
source_mean,clustered,mean_hidden_dice,98,-0.06859463560494487,-0.2620255111527232,0.13834937761558996,patient
source_mean,clustered,mean_hidden_hd95_px,98,-0.10983174900700673,-0.30732219379942055,0.09259980912435704,patient
source_mean,clustered,area_curve_relative_rmse,98,-0.5406792520194582,-0.6654428473205363,-0.39854654160610126,patient
source_mean,random,mean_hidden_dice,98,-0.04949346186459588,-0.2444510409776769,0.15000076545410926,patient
source_mean,random,mean_hidden_hd95_px,98,-0.10841637498485804,-0.2946844573297251,0.08395430867477752,patient
source_mean,random,area_curve_relative_rmse,98,-0.5642688190552696,-0.687114332910504,-0.42620392138030333,patient
source_mean,uniform,mean_hidden_dice,98,-0.056710594265822534,-0.2543797277269375,0.14270631063920783,patient
source_mean,uniform,mean_hidden_hd95_px,98,-0.10140326046069785,-0.3054029086772038,0.1020053127469986,patient
source_mean,uniform,area_curve_relative_rmse,98,-0.5689229768758487,-0.6933683969055763,-0.42776393316663175,patient
target_only,clustered,mean_hidden_dice,98,-0.09802421437178432,-0.29555608337964767,0.11042290496169607,patient
target_only,clustered,mean_hidden_hd95_px,98,-0.10429776409157851,-0.29484590050151127,0.09254876766268705,patient
target_only,clustered,area_curve_relative_rmse,98,-0.4781477726985826,-0.6257494556514352,-0.3068748183325138,patient
target_only,random,mean_hidden_dice,98,-0.12359020459167733,-0.31722229339221214,0.07756036796258248,patient
target_only,random,mean_hidden_hd95_px,98,-0.12981274984220492,-0.3085048438358865,0.06521404176970061,patient
target_only,random,area_curve_relative_rmse,98,-0.5240645461558568,-0.6577600670260838,-0.3740841042670535,patient
target_only,uniform,mean_hidden_dice,98,-0.09830473895275071,-0.29696860520215107,0.10503722395094979,patient
target_only,uniform,mean_hidden_hd95_px,98,-0.1255156233064922,-0.30470298010502184,0.06667465490633336,patient
target_only,uniform,area_curve_relative_rmse,98,-0.5293945131942186,-0.6653950490251349,-0.3815803662517458,patient
