method_id,metric,fold_min,fold_max,fold_range,fold_sd
hb_tpm_latent_mse,mean_hidden_dice,0.7243229624862197,0.7766670445373215,0.05234408205110175,0.019335284003536603
hb_tpm_latent_mse,mean_hidden_hd95_px,8.183410830526078,11.472054279630342,3.2886434491042635,1.2925948126450009
hb_tpm_latent_mse,area_curve_relative_rmse,0.2548244978068215,1.0498033248287117,0.7949788270218903,0.39606412892696463
oa_hb_tpm_isotropic_prior,mean_hidden_dice,0.7237371916183367,0.7700488003713922,0.04631160875305551,0.01687648951566332
oa_hb_tpm_isotropic_prior,mean_hidden_hd95_px,9.125281188008753,11.54414707002061,2.4188658820118576,0.9783884095489365
oa_hb_tpm_isotropic_prior,area_curve_relative_rmse,0.3261989608077702,1.0480452582315902,0.72184629742382,0.36217771179014
oa_hb_tpm_map,mean_hidden_dice,0.7237398008751481,0.7695356865307468,0.04579588565559867,0.016708273438676494
oa_hb_tpm_map,mean_hidden_hd95_px,9.137136158252263,11.544076904735427,2.406940746483164,0.9768306955412028
oa_hb_tpm_map,area_curve_relative_rmse,0.32586986503009513,1.0480083511369327,0.7221384861068376,0.3617941434699648
oa_hb_tpm_no_phase_alignment,mean_hidden_dice,0.7237500609975077,0.7700502192920288,0.046300158294521054,0.01686991859289593
oa_hb_tpm_no_phase_alignment,mean_hidden_hd95_px,9.127708943003165,11.542840195612525,2.41513125260936,0.9782196475277802
oa_hb_tpm_no_phase_alignment,area_curve_relative_rmse,0.32580752819853603,1.0480016384937496,0.7221941102952136,0.3622098297739693
source_mean,mean_hidden_dice,0.7253781998547532,0.7679883004952239,0.04261010064047077,0.015691813647001732
source_mean,mean_hidden_hd95_px,9.09191894623865,11.400123463821393,2.308204517582743,0.9495253268043232
source_mean,area_curve_relative_rmse,0.31561051806427476,1.0437471708569324,0.7281366527926576,0.36578745165262927
target_only,mean_hidden_dice,0.7238990510112076,0.766227494770214,0.04232844375900646,0.015565737406668122
target_only,mean_hidden_hd95_px,9.294323164893578,11.48303885668512,2.1887156917915416,0.9067558975348063
target_only,area_curve_relative_rmse,0.33567218776114177,1.0473484010015452,0.7116762132404035,0.3559453152079204
