method_id,metric,n_patients,mean,bootstrap_95_lower,bootstrap_95_upper,nominal_target
hb_tpm_latent_mse,hidden_brier,98,0.03691967634154719,0.033731911980651494,0.040285032179026,
hb_tpm_latent_mse,posterior_predictive_hidden_brier,98,0.06248863459317656,0.06020953391706503,0.06505634050078203,
hb_tpm_latent_mse,hidden_area_95_coverage,98,0.5997107560271773,0.5755499931118495,0.6291980558685082,0.95
hb_tpm_latent_mse,area_95_interval_width_relative,98,2.966318614353713,2.7942246374708186,3.144214952506726,
oa_hb_tpm_isotropic_prior,hidden_brier,98,0.03768969831836158,0.03450403170853684,0.040986097776302445,
oa_hb_tpm_isotropic_prior,posterior_predictive_hidden_brier,98,0.04956683749231651,0.04664659297157734,0.052793238902239546,
oa_hb_tpm_isotropic_prior,hidden_area_95_coverage,98,0.400893961594663,0.3755045600377312,0.42874641383096873,0.95
oa_hb_tpm_isotropic_prior,area_95_interval_width_relative,98,1.2669832669605159,1.1924491639592634,1.3421062746870807,
oa_hb_tpm_map,hidden_brier,98,0.03769997299351047,0.0344271908605813,0.04114273620233708,
oa_hb_tpm_map,posterior_predictive_hidden_brier,98,0.04973136270659509,0.04687811104442007,0.05298327562874684,
oa_hb_tpm_map,hidden_area_95_coverage,98,0.40188181720626276,0.37755859308863665,0.4289954441106586,0.95
oa_hb_tpm_map,area_95_interval_width_relative,98,1.288648681994376,1.2142777998753311,1.3634828895674835,
oa_hb_tpm_no_phase_alignment,hidden_brier,98,0.037686964715545834,0.034504138376766476,0.04116465941387648,
oa_hb_tpm_no_phase_alignment,posterior_predictive_hidden_brier,98,0.04976191215369161,0.046748190146433714,0.05287811760838157,
oa_hb_tpm_no_phase_alignment,hidden_area_95_coverage,98,0.4024612962067944,0.3784008828867614,0.4304530839221083,0.95
oa_hb_tpm_no_phase_alignment,area_95_interval_width_relative,98,1.2874913519343725,1.2142231253980202,1.3637458868205719,
source_mean,hidden_brier,98,0.037021164987869774,0.033968503785617346,0.04037552661918175,
source_mean,posterior_predictive_hidden_brier,98,0.037021164987869774,0.03387348859984627,0.04045692511321021,
source_mean,hidden_area_95_coverage,0,,,,
source_mean,area_95_interval_width_relative,0,,,,
target_only,hidden_brier,98,0.03771235699847741,0.03451925458114741,0.041070377353664284,
target_only,posterior_predictive_hidden_brier,98,0.09232779830478788,0.08915319601885754,0.09568027743927457,
target_only,hidden_area_95_coverage,98,0.3984881325508103,0.36624791310919447,0.4300881885221621,0.95
target_only,area_95_interval_width_relative,98,2.9039400230661947,2.7361707465633436,3.073375587909715,
