method_id,k,metric,mean,bootstrap_95_lower,bootstrap_95_upper
hb_tpm_latent_mse,2,mean_hidden_dice,0.7513980663709162,0.7321035195974567,0.7699757720647633
hb_tpm_latent_mse,2,mean_hidden_hd95_px,9.569952796066744,8.750867595656159,10.40014233462691
hb_tpm_latent_mse,2,area_curve_relative_rmse,0.5861769582795465,0.5109276156234631,0.6660792640714811
hb_tpm_latent_mse,3,mean_hidden_dice,0.7507898083007888,0.7310758668503451,0.7701205871956173
hb_tpm_latent_mse,3,mean_hidden_hd95_px,9.49602733829879,8.688787514498253,10.34186854133014
hb_tpm_latent_mse,3,area_curve_relative_rmse,0.5705825532652975,0.49568356887244563,0.6477697387280325
hb_tpm_latent_mse,5,mean_hidden_dice,0.7524347107078881,0.7328192952905445,0.7709719042883982
hb_tpm_latent_mse,5,mean_hidden_hd95_px,9.4512228611863,8.6431813329795,10.269110883559136
hb_tpm_latent_mse,5,area_curve_relative_rmse,0.5696508980129992,0.49410567664116045,0.6442030488019055
hb_tpm_latent_mse,7,mean_hidden_dice,0.7549150519065387,0.7350607666035917,0.7740031018787237
hb_tpm_latent_mse,7,mean_hidden_hd95_px,9.234841353312008,8.423981007639698,10.072177948143345
hb_tpm_latent_mse,7,area_curve_relative_rmse,0.547232990916772,0.4730511802706597,0.6218277693217661
hb_tpm_latent_mse,10,mean_hidden_dice,0.7563164443085569,0.7364571785496931,0.7755769983719746
hb_tpm_latent_mse,10,mean_hidden_hd95_px,9.279348527165913,8.480367083398333,10.11583996062047
hb_tpm_latent_mse,10,area_curve_relative_rmse,0.5494481019248685,0.4740998513665463,0.6251858122238151
oa_hb_tpm_isotropic_prior,2,mean_hidden_dice,0.7483795775713971,0.7284303939332928,0.7676288067914684
oa_hb_tpm_isotropic_prior,2,mean_hidden_hd95_px,9.773451176502006,8.914405509251191,10.6181658436878
oa_hb_tpm_isotropic_prior,2,area_curve_relative_rmse,0.5917606222149144,0.5160372417636578,0.6671643871452221
oa_hb_tpm_isotropic_prior,3,mean_hidden_dice,0.7483865393265458,0.728852197738779,0.7673166776799012
oa_hb_tpm_isotropic_prior,3,mean_hidden_hd95_px,9.856165063261463,8.981396432057544,10.743168241773976
oa_hb_tpm_isotropic_prior,3,area_curve_relative_rmse,0.6002035202919968,0.5254312170600578,0.6780858312307314
oa_hb_tpm_isotropic_prior,5,mean_hidden_dice,0.7480399141583361,0.7283844887214621,0.7678462901397679
oa_hb_tpm_isotropic_prior,5,mean_hidden_hd95_px,9.894954657565869,9.048304462081937,10.809843003866929
oa_hb_tpm_isotropic_prior,5,area_curve_relative_rmse,0.6044686609895349,0.5303671416540839,0.6820384800263453
oa_hb_tpm_isotropic_prior,7,mean_hidden_dice,0.7475939936328907,0.7277688528313733,0.7670116461518168
oa_hb_tpm_isotropic_prior,7,mean_hidden_hd95_px,9.902778906600714,9.06547070977042,10.80257421904271
oa_hb_tpm_isotropic_prior,7,area_curve_relative_rmse,0.603475962016205,0.527315052387608,0.6803380630056939
oa_hb_tpm_isotropic_prior,10,mean_hidden_dice,0.7486765823775089,0.728853249180651,0.7677643281008476
oa_hb_tpm_isotropic_prior,10,mean_hidden_hd95_px,9.890289299798598,9.017446812101152,10.790621572370686
oa_hb_tpm_isotropic_prior,10,area_curve_relative_rmse,0.6031022773975128,0.5285992709813555,0.6807308828290697
oa_hb_tpm_map,2,mean_hidden_dice,0.747861864625475,0.7274210218040187,0.7674728737622601
oa_hb_tpm_map,2,mean_hidden_hd95_px,9.784786742788068,8.939849092283922,10.703447331867146
oa_hb_tpm_map,2,area_curve_relative_rmse,0.5943747742042347,0.5186300735558387,0.6732726760716333
oa_hb_tpm_map,3,mean_hidden_dice,0.7484233567341851,0.7288571246430523,0.7680112103590748
