k,strategy,metric,method_id,mean,rank
3,clustered,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6042002015089123,5
3,clustered,area_curve_relative_rmse,target_only,0.6056608235759552,6
3,random,mean_hidden_dice,hb_tpm_latent_mse,0.750507034901643,1
3,random,mean_hidden_dice,source_mean,0.7486390322502888,2
3,random,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7481385546747679,3
3,random,mean_hidden_dice,oa_hb_tpm_map,0.7480805444969243,4
3,random,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7480485102467037,5
3,random,mean_hidden_dice,target_only,0.7459614289261115,6
3,random,mean_hidden_hd95_px,hb_tpm_latent_mse,9.511790019487588,1
3,random,mean_hidden_hd95_px,source_mean,9.787299420751529,2
3,random,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.86633690078349,3
3,random,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.868093185423035,4
3,random,mean_hidden_hd95_px,oa_hb_tpm_map,9.869137485834049,5
3,random,mean_hidden_hd95_px,target_only,9.954244639041386,6
3,random,area_curve_relative_rmse,hb_tpm_latent_mse,0.5708590355549349,1
3,random,area_curve_relative_rmse,source_mean,0.5911788654300938,2
3,random,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.5981835604468704,3
3,random,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.5982594429404432,4
3,random,area_curve_relative_rmse,oa_hb_tpm_map,0.598349152486997,5
3,random,area_curve_relative_rmse,target_only,0.6074254991615446,6
3,uniform,mean_hidden_dice,hb_tpm_latent_mse,0.7503705524379756,1
3,uniform,mean_hidden_dice,source_mean,0.7483662132330974,2
3,uniform,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7480689296748295,3
3,uniform,mean_hidden_dice,oa_hb_tpm_map,0.7479730106835344,4
3,uniform,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7479324822199654,5
3,uniform,mean_hidden_dice,target_only,0.7459908635860506,6
3,uniform,mean_hidden_hd95_px,hb_tpm_latent_mse,9.461456218942963,1
3,uniform,mean_hidden_hd95_px,source_mean,9.754310051258289,2
3,uniform,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.81448299084324,3
3,uniform,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.818369987092966,4
3,uniform,mean_hidden_hd95_px,oa_hb_tpm_map,9.81903679700917,5
3,uniform,mean_hidden_hd95_px,target_only,9.913366064932148,6
