method_id,k,strategy,n_patients,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse,hidden_brier,posterior_predictive_hidden_brier,hidden_area_95_coverage,area_95_interval_width_relative,trust_gate_rejection_rate,trust_score,runtime_s
hb_tpm_latent_mse,2,clustered,98,0.7512758172158149,9.65185977579478,0.59513421882539,0.0375864754849094,0.06540560576380512,0.5611317254174397,2.527676526784162,0.5897959183673469,0.00048535534914826003,0.03893612054015068
hb_tpm_latent_mse,2,random,98,0.7512316684376658,9.60275888111512,0.5903371520776214,0.03742002501931721,0.06548578417574868,0.5574211502782931,2.5336977034750148,0.5693877551020409,0.0004817479901248164,0.03901413481311906
hb_tpm_latent_mse,2,uniform,98,0.7516867134592676,9.455239731290337,0.5730595039356281,0.036581501811362604,0.06514113248154821,0.5463821892393321,2.530609039395734,0.07142857142857142,0.0002720739109407579,0.04279305152737588
hb_tpm_latent_mse,3,clustered,98,0.7514918375627478,9.514835776465812,0.5721483531023602,0.03742731858272937,0.06273460209521707,0.6016520894071915,2.4893567633902567,0.38163265306122446,0.0005036621370705105,0.03791029291769143
hb_tpm_latent_mse,3,random,98,0.750507034901643,9.511790019487588,0.5708590355549349,0.037233991746087415,0.06349630927552978,0.5970845481049563,2.5331659311009593,0.16938775510204082,0.00039579730321427577,0.03787528651015714
hb_tpm_latent_mse,3,uniform,98,0.7503705524379756,9.461456218942963,0.5687402711385975,0.03694504622027881,0.06288681487191693,0.5830903790087464,2.5478974097327773,0.10204081632653061,0.0004517315560684051,0.0395609641338375
hb_tpm_latent_mse,5,clustered,98,0.7545133829564483,9.468726137882527,0.5723646330863252,0.03719597026819777,0.06387011407665448,0.6094522019334049,3.0091010300546057,0.0,0.00026646007514050015,0.03502303253650205
hb_tpm_latent_mse,5,random,98,0.7519335862763022,9.460829365483606,0.5707816616873622,0.03713544732035722,0.06274376081644877,0.6092373791621911,3.032694527308469,0.0163265306122449,0.0003299394302005501,0.03503609131879112
hb_tpm_latent_mse,5,uniform,98,0.7508571628909138,9.424113080192768,0.5658063992653101,0.03703689082924804,0.060367667819468285,0.6063372717508055,2.999719665032255,0.12244897959183673,0.0004464189055118704,0.03661545102807631
hb_tpm_latent_mse,7,clustered,98,0.7575589756469854,9.275490707437948,0.5539589413086441,0.03675934866222796,0.06696841476523141,0.6189675870348139,3.597569030217153,0.0,0.00022258866759195344,0.03235664586774164
hb_tpm_latent_mse,7,random,98,0.7540931899906548,9.21534909885264,0.5455808860750857,0.03650749124282472,0.061423016157077244,0.6190876350540216,3.3725120598450213,0.02040816326530612,0.0003741382888359765,0.03229597830926349
hb_tpm_latent_mse,7,uniform,98,0.7530929900819757,9.213684253645436,0.5421591453665859,0.03645596406137452,0.05679081133281694,0.6158463385354142,3.18488648454657,0.11224489795918367,0.00046056987181994287,0.03381952273241259
hb_tpm_latent_mse,10,clustered,98,0.7592732446840198,9.372345819218195,0.5600405790010129,0.037025248631834935,0.06948876574787553,0.6206997084548105,3.852930388966383,0.0020408163265306124,0.0001927963986770218,0.028391301960266166
