method_id,fold,mean_hidden_dice,mean_hidden_hd95_px,area_curve_relative_rmse
hb_tpm_latent_mse,0,0.7483138813468021,9.329131349988325,0.3076185782778066
hb_tpm_latent_mse,1,0.7625300962166768,8.487415874051873,0.2548244978068215
hb_tpm_latent_mse,2,0.7766670445373215,8.183410830526078,0.29389723330865697
hb_tpm_latent_mse,3,0.7525464878948275,9.676163577151643,0.9610275835483503
hb_tpm_latent_mse,4,0.7243229624862197,11.472054279630342,1.0498033248287117
oa_hb_tpm_isotropic_prior,0,0.7424131135534561,9.866257263404801,0.3519590625975283
oa_hb_tpm_isotropic_prior,1,0.7509249295404229,9.227663391179332,0.3261989608077702
oa_hb_tpm_isotropic_prior,2,0.7700488003713922,9.125281188008753,0.357750253840051
oa_hb_tpm_isotropic_prior,3,0.7529662099185827,9.626468171096432,0.9593679468280003
oa_hb_tpm_isotropic_prior,4,0.7237371916183367,11.54414707002061,1.0480452582315902
oa_hb_tpm_map,0,0.7424448361904747,9.865928121226856,0.35209188695183047
oa_hb_tpm_map,1,0.7509604163624097,9.223344751510155,0.32586986503009513
oa_hb_tpm_map,2,0.7695356865307468,9.137136158252263,0.3601712161972501
oa_hb_tpm_map,3,0.7529721956941572,9.6262240546324,0.959387666830839
oa_hb_tpm_map,4,0.7237398008751481,11.544076904735427,1.0480083511369327
oa_hb_tpm_no_phase_alignment,0,0.7424818607329577,9.865505959992957,0.35196695985602033
oa_hb_tpm_no_phase_alignment,1,0.7509826546302498,9.222459690166263,0.32580752819853603
oa_hb_tpm_no_phase_alignment,2,0.7700502192920288,9.127708943003165,0.3579835991974443
oa_hb_tpm_no_phase_alignment,3,0.7529769974928481,9.62672225247044,0.9594124419181137
oa_hb_tpm_no_phase_alignment,4,0.7237500609975077,11.542840195612525,1.0480016384937496
source_mean,0,0.7449737314882218,9.740153134573788,0.33037435516829605
source_mean,1,0.7536256264192797,9.09191894623865,0.31561051806427476
source_mean,2,0.7679883004952239,9.101103782120603,0.3529937320333267
source_mean,3,0.7543993094955875,9.566341419833352,0.9517228863336376
source_mean,4,0.7253781998547532,11.400123463821393,1.0437471708569324
target_only,0,0.7415432576735991,9.86717727534517,0.35064706012697305
target_only,1,0.7492856555766352,9.297285622364521,0.33567218776114177
target_only,2,0.766227494770214,9.294323164893578,0.38224985752076596
target_only,3,0.752589413705435,9.667577131153111,0.9581969614156769
target_only,4,0.7238990510112076,11.48303885668512,1.0473484010015452
