method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,mean_hidden_area_95_coverage,trust_gate_rejection_rate,mean_runtime_s
source_mean,7,clustered,20,100,0.7712794612958386,9.063380807090793,0.3526666756591559,0.03018820413388312,,0.25,0.028123195450752973
source_mean,7,random,20,100,0.7674736390179894,9.10885121787359,0.35266674641275064,0.030101717077195646,,0.41,0.028048725828994064
source_mean,7,uniform,20,20,0.7668556414650831,9.08062787147341,0.35266658840363607,0.02992340181954205,,0.1,0.028670348110608757
